record,ticker,buy_date,buy_price,qty,commissions,sell_date,sell_price,sell_commissions,source,currency,asset_type,notes
cerrada,TSMD.BA,2026-01-20,38.2,1.0,0.21,2026-03-25,39.79,0.2407,,,,
cerrada,VALED.BA,2025-10-09,5.90293,13.0,0.4643,2026-04-10,8.92,0.7012,,,,
cerrada,VALED.BA,2026-01-26,8.182827,86.0,4.2575,2026-04-10,8.92,4.6388,,,,
dividendo,METR.BA,,,5935.0,,2026-07-23,175.694061,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-11-12,22.779226,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-10-13,22.315956,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-09-10,21.905062,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-08-12,21.496271,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-07-11,21.153807,0.0,,,,
dividendo,GGAL.BA,,,30.0,,2025-05-14,54.785866,0.0,,,,
dividendo,BHIP.BA,,,1090.0,,2025-10-30,5.041272,0.0,,,,
dividendo,BHIP.BA,,,1090.0,,2025-09-29,4.938745,0.0,,,,
dividendo,BHIP.BA,,,1090.0,,2025-08-28,4.84781,0.0,,,,
dividendo,BHIP.BA,,,1090.0,,2025-07-30,4.757341,0.0,,,,
dividendo,BHIP.BA,,,1090.0,,2025-06-30,4.68155,0.0,,,,
dividendo,VALED.BA,,,13.0,,2025-12-12,0.218973,0.0,,USD,,
dividendo,TSMD.BA,,,46.0,,2026-03-17,0.106192,0.0,,USD,,
dividendo,GOGLD.BA,,,971.0,,2025-12-08,0.003621,0.0,,USD,,
dividendo,NVDAD.BA,,,427.0,,2025-06-11,0.000417,0.0,,USD,,
dividendo,NVDAD.BA,,,427.0,,2025-03-12,0.000417,0.0,,USD,,
dividendo,NVDAD.BA,,,450.0,,2024-12-05,0.000417,0.0,,USD,,
dividendo,NVDAD.BA,,,450.0,,2024-09-12,0.000417,0.0,,USD,,
dividendo,AAPLD.BA,,,62.0,,2026-08-10,0.0135,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2025-08-11,0.013,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2025-05-12,0.013,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2025-02-10,0.008115,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2024-11-08,0.0125,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2024-08-12,0.008115,0.0,,USD,,
dividendo,AAPLD.BA,,,54.0,,2024-05-10,0.0125,0.0,,USD,,
dividendo,METAD.BA,,,59.0,,2025-06-16,0.021875,0.0,,USD,,
dividendo,METAD.BA,,,59.0,,2025-03-14,0.021875,0.0,,USD,,
dividendo,METAD.BA,,,22.0,,2024-12-16,0.020833,0.0,,USD,,
dividendo,METAD.BA,,,22.0,,2024-09-16,0.020833,0.0,,USD,,
dividendo,METAD.BA,,,22.0,,2024-06-14,0.020833,0.0,,USD,,
dividendo,MSFTD.BA,,,6.0,,2024-11-21,0.027667,0.0,,USD,,
dividendo,BYMA.BA,,,165.0,,2025-04-15,0.036527,0.0,,USD,,
